SCES_521.56 5a8199d00d	Ghosthunter - Hunter on the spectres
SLES_521.79 429961c96d	Kaan Barbarian Blade
SLES_521.87 429961c92d	Baldur's Gate - Dark Alliance 2
SLES_522.37 b36991396d	dot Hack - Part 1 - Infection
SCES_522.68 bb6179306d	Sing-Star
SLES_522.78 bb619931bd	Mafia
SLES_522.79 bb619931b5	Mafia
SLES_522.80 bb619931cd	Mafia
SLES_522.81 bb619931c5	Mafia
SLES_522.82 bb619931dd	Mafia
SLES_522.89 a37981291d	MTX Mototrax
SLES_522.90 a379812905	MTX Mototrax
SCES_522.99 a37961284d	SingStar
SLES_523.25 ab71892135	Champions of Norrath - Realms of EverQuest
SLES_523.88 9b41b9110d	Transformers Armada - Prelude to Energon [Special Edition]
SCES_523.89 9b41591005	World Rally Championship 4
SLES_524.04 9b41b9118d	MTV Music Generator 3
SCES_524.24 8359410875	Ace Combat - Squadron Leader
SLES_524.39 8359a1098d	Suffering, The
SLES_524.40 8359a109f5	Harry Potter and the Prisoner of Azkaban
SLES_524.45 8359a109dd	Silent Hill 4 - The Room
